City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,faya-largeau,17.9257,19.1043,295.89,12,0,3.9,TD,1707794874
222,san patricio,28.017,-97.5169,289.07,54,0,2.56,US,1707794875
223,aoulef,26.9667,1.0833,294.04,26,0,4.3,DZ,1707794875
224,ouesso,1.6136,16.0517,299.6,36,100,0.32,CG,1707794875
225,tchollire,8.4022,14.1698,296.06,19,2,1.71,CM,1707794875
226,pimentel,-6.8367,-79.9342,298.31,83,100,4.12,PE,1707794875
227,tulcan,0.8,-77.7167,283.43,96,94,2.17,EC,1707794875
228,wainwright,52.839,-110.8572,266.53,90,81,3.47,CA,1707794875
229,mount gambier,-37.8333,140.7667,297.14,46,46,6.81,AU,1707794875
230,gorontalo,0.5412,123.0595,303.28,67,100,0.58,ID,1707794875
231,paramonga,-10.6667,-77.8333,297.89,77,38,2.83,PE,1707794875
232,cadale,2.7603,46.3222,299.14,86,59,5.61,SO,1707794875
233,wanning,18.8003,110.3967,298.1,61,26,2.65,CN,1707794876
234,utrik,11.2278,169.8474,299.19,71,100,9.8,MH,1707794876
235,flying fish cove,-10.4217,105.6791,301.97,78,100,0.0,CX,1707794876
236,punta arenas,-53.15,-70.9167,285.21,54,100,8.75,CL,1707794876
237,bayanaul,50.7889,75.6956,258.45,83,100,3.29,KZ,1707794876
238,chapada dos guimaraes,-15.4606,-55.7497,293.96,95,14,2.1,BR,1707794876
239,oum hadjer,13.2954,19.6966,294.84,10,0,4.29,TD,1707794876
240,umarkot,25.3616,69.7362,290.48,18,74,3.62,PK,1707794876
241,ji'an,27.1172,114.9793,289.09,59,81,2.95,CN,1707794876
242,kudahuvadhoo,2.6708,72.8944,300.92,79,97,7.48,MV,1707794876
243,coquimbo,-29.9533,-71.3436,292.0,82,100,2.57,CL,1707794876
244,ulsteinvik,62.3432,5.8487,277.65,66,100,3.58,NO,1707794877
245,ekuvukeni,-28.4675,30.1551,288.5,93,1,1.01,ZA,1707794877
246,steamboat springs,40.485,-106.8317,269.87,80,0,5.14,US,1707794708
