City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,grantsville,40.5999,-112.4644,275.75,95,75,2.57,US,1707361389
275,salekhard,66.53,66.6019,268.41,93,100,6.07,RU,1707361103
276,okhotsk,59.3833,143.3,253.36,77,91,4.7,RU,1707361146
277,mount isa,53.6597,-1.8537,275.18,83,100,2.91,GB,1707361219
278,kavaratti,10.5669,72.642,301.01,73,100,2.41,IN,1707361179
279,tabuk,17.4189,121.4443,300.34,62,4,1.9,PH,1707361389
280,morshansk,53.4435,41.8107,269.94,86,93,8.4,RU,1707361389
281,sao francisco do sul,20.5113,76.2129,292.52,49,21,2.7,IN,1707361200
282,wailua homesteads,22.0492,-159.3352,300.15,72,100,6.69,US,1707361145
283,redencao,-4.2258,-38.7306,297.32,97,32,1.31,BR,1707361274
284,jennings,38.7192,-90.2604,284.36,65,100,4.63,US,1707361389
285,paredon,16.0333,-93.8667,297.32,54,1,1.95,MX,1707361389
286,belawan,3.7755,98.6832,303.31,69,80,2.23,ID,1707361390
287,hirara,24.8,125.2833,291.3,94,75,10.8,JP,1707361390
288,sarykemer,43.0,71.5,279.86,98,100,3.23,KZ,1707361390
289,korsor,55.3299,11.1386,274.83,83,90,8.2,DK,1707361390
290,beloyarskiy,63.7119,66.6722,269.82,89,100,4.47,RU,1707361390
291,jijiga,9.35,42.8,289.6,69,15,1.02,ET,1707361391
292,dolores,-36.3132,-57.6792,297.07,78,95,5.21,AR,1707361334
293,whitehorse,60.7161,-135.0538,259.58,80,75,3.6,CA,1707361146
294,fale old settlement,62.6287,8.8645,262.52,52,69,4.6,NO,1707361172
295,villa juarez,46.2039,10.1339,281.57,81,99,1.27,IT,1707361391
296,guiuan,11.0333,125.7247,300.4,73,48,5.24,PH,1707361391
297,mount gambier,53.6597,-1.8537,275.18,83,100,2.91,GB,1707361162
298,moss,59.434,10.6577,263.87,85,81,2.57,NO,1707361391
299,namibe,-15.1961,12.1522,298.31,77,99,3.78,AO,1707360858
300,puerto el triunfo,36.5939,-6.233,284.05,93,100,3.09,ES,1707361190
301,arauca,7.0847,-70.7591,301.13,78,20,2.57,CO,1707361392
302,gadzhiyevo,69.2551,33.3362,249.37,100,92,3.44,RU,1707361183
303,almeirim,-1.5233,-52.5817,298.21,84,30,2.01,BR,1707361392
304,quirinopolis,-18.4483,-50.4517,295.76,82,100,0.71,BR,1707361392
305,jishui,33.7333,115.4,276.59,62,59,1.81,CN,1707361392
306,canutama,-6.5339,-64.3831,297.19,96,100,1.08,BR,1707361392
307,jeddah,21.5169,39.2192,296.07,46,40,0.0,SA,1707361392
308,port hedland,-7.0349,29.7638,295.09,80,68,2.28,CD,1707361216
309,chancay,-11.5714,-77.2672,297.74,82,69,3.01,PE,1707361393
310,taoudenni,22.6783,-3.9836,290.04,18,36,4.34,ML,1707361191
311,newman,37.3138,-121.0208,281.28,91,76,3.22,US,1707361177
312,sandnessjoen,66.0217,12.6316,266.44,57,97,3.49,NO,1707361393
313,dampit,-8.2116,112.7493,296.97,93,100,0.09,ID,1707361393
314,zigong,29.3416,104.7769,282.11,70,91,1.21,CN,1707361393
315,kodinsk,58.6881,99.1844,263.39,95,100,0.62,RU,1707361394
316,kattivakkam,13.2167,80.3167,298.21,77,100,1.97,IN,1707361394
317,neryungri,56.6709,124.6491,256.22,85,100,3.7,RU,1707361186
318,mogocha,53.7333,119.7667,260.71,75,25,0.53,RU,1707361394
